company_name,contact_name,country,linkedin_website,email,phone,whatsapp,website,industry,What_they_do,Why_they_need_BLIIOT
"Agora Automation (Pty)Ltd","","South Africa","https://www.linkedin.com/company/agora-automation/","","","+27823637667","https://agora-automation.co.za","SCADA / PLC / Industrial Control","Industrial automation system integrator based in N4 Gateway Industrial Park, Pretoria. Specializes in PLC programming, SCADA systems, and industrial control solutions for manufacturing and process industries across South Africa.","They may need industrial gateways for PLC/SCADA connectivity and protocol conversion. They may need edge connectivity products to collect field data and connect devices to cloud or software platforms."
"INTEG System Integrators","","South Africa","https://www.linkedin.com/company/integ-system-integrators/","","","+27218500320","https://integ.co.za","SCADA / PLC / Industrial Control","Cape Town-based system integrator. Provides industrial automation, control systems integration, and software solutions to manufacturing and industrial clients. Perfect 5.0 rating.","They may need industrial gateways for PLC/SCADA connectivity and protocol conversion. They may need edge connectivity products to collect field data and connect devices to cloud or software platforms."
"SyncSystems Automation","","South Africa","","","","+27100260101","","SCADA / PLC / Industrial Control","Software and automation engineering company combining IT expertise with industrial automation. Provides digital transformation and control systems services.","They may need edge connectivity products to collect field data and connect devices to cloud or software platforms."
"Lambda Automation","","South Africa","","","","+27129402920","","SCADA / PLC / Industrial Control","Software and automation engineering company combining IT expertise with industrial automation. Provides digital transformation and control systems services.","They may need edge connectivity products to collect field data and connect devices to cloud or software platforms."
"MH AUTOMATION","","South Africa","https://www.linkedin.com/company/mh-automation/","","","+27115480600","","SCADA / PLC / Industrial Control","Software and automation engineering company combining IT expertise with industrial automation. Provides digital transformation and control systems services.","They may need edge connectivity products to collect field data and connect devices to cloud or software platforms."
"Industrial Design Simulation & Automation Services Ltd","","Nigeria","https://www.linkedin.com/company/idsasl/","","","+2348025774193","","SCADA / PLC / Industrial Control","Software and automation engineering company combining IT expertise with industrial automation. Provides digital transformation and control systems services.","They may need edge connectivity products to collect field data and connect devices to cloud or software platforms."
"Integrated Systems Engineering Ltd","","Nigeria","https://www.linkedin.com/company/integrated-systems-engineering-ltd/","","","+2349052463435","","SCADA / PLC / Industrial Control","Software and automation engineering company combining IT expertise with industrial automation. Provides digital transformation and control systems services.","They may need edge connectivity products to collect field data and connect devices to cloud or software platforms."
"Asamaka Industries Ltd Nigeria","","Nigeria","","","","+2348053286686","","SCADA / PLC / Industrial Control","Software and automation engineering company combining IT expertise with industrial automation. Provides digital transformation and control systems services.","They may need edge connectivity products to collect field data and connect devices to cloud or software platforms."
"Fronthill Controls - Building & Energy Spec.","","Nigeria","https://www.linkedin.com/company/fronthill-controls/","","","+2347034239259","","SCADA / PLC / Industrial Control","Software and automation engineering company combining IT expertise with industrial automation. Provides digital transformation and control systems services.","They may need edge connectivity products to collect field data and connect devices to cloud or software platforms."
"PCMP PTY LTD","","South Africa","https://www.linkedin.com/company/pcmp-pty-ltd/","","","+27104499679","https://pcmp.co.za","SCADA / PLC / Industrial Control","Electrical engineering firm specializing in industrial automation, electrical design, and control systems. Based in Princess Industrial Estate, Johannesburg. Provides engineering solutions to mining, manufacturing, and utilities sectors.","They may need industrial gateways for PLC/SCADA connectivity and protocol conversion. They may need edge connectivity products to collect field data and connect devices to cloud or software platforms."
"Process Dynamics (Pty) Ltd","","South Africa","https://www.linkedin.com/company/process-dynamics/","","","+27113945412","https://process-dynamics.co.za","SCADA / PLC / Industrial Control","Leading process automation system integrator based in Johannesburg. Specializes in PLC/DCS/SCADA integration, process control solutions for food & beverage, chemical, and manufacturing industries.","They may need industrial gateways for PLC/SCADA connectivity and protocol conversion. They may need edge connectivity products to collect field data and connect devices to cloud or software platforms."
"Emenem Industrial","","South Africa","","","","+27825708093","","SCADA / PLC / Industrial Control","Software and automation engineering company combining IT expertise with industrial automation. Provides digital transformation and control systems services.","They may need edge connectivity products to collect field data and connect devices to cloud or software platforms."
"Elan Systems South Africa","","South Africa","","","","+27861352647","","SCADA / PLC / Industrial Control","Software and automation engineering company combining IT expertise with industrial automation. Provides digital transformation and control systems services.","They may need edge connectivity products to collect field data and connect devices to cloud or software platforms."
"PBSA - Smart Automation","","South Africa","","","","+27115169400","","SCADA / PLC / Industrial Control","Software and automation engineering company combining IT expertise with industrial automation. Provides digital transformation and control systems services.","They may need edge connectivity products to collect field data and connect devices to cloud or software platforms."
"Automated Process Limited","","Nigeria","","","","+2348055103288","","SCADA / PLC / Industrial Control","Software and automation engineering company combining IT expertise with industrial automation. Provides digital transformation and control systems services.","They may need edge connectivity products to collect field data and connect devices to cloud or software platforms."
"Systems Automation & Management","","South Africa","","","","+27118030570","","SCADA / PLC / Industrial Control","Software and automation engineering company combining IT expertise with industrial automation. Provides digital transformation and control systems services.","They may need edge connectivity products to collect field data and connect devices to cloud or software platforms."
"Rockwell Automation SA","","South Africa","https://www.linkedin.com/company/rockwell-automation/","","","+27119981000","","SCADA / PLC / Industrial Control","Software and automation engineering company combining IT expertise with industrial automation. Provides digital transformation and control systems services.","They may need edge connectivity products to collect field data and connect devices to cloud or software platforms."
"Elonics Industrial Automation","","South Africa","","","","+27317026242","","SCADA / PLC / Industrial Control","Software and automation engineering company combining IT expertise with industrial automation. Provides digital transformation and control systems services.","They may need edge connectivity products to collect field data and connect devices to cloud or software platforms."
"CraigCor Distribution","","South Africa","https://www.linkedin.com/company/craigcor/","","","+27115745300","","SCADA / PLC / Industrial Control","Software and automation engineering company combining IT expertise with industrial automation. Provides digital transformation and control systems services.","They may need edge connectivity products to collect field data and connect devices to cloud or software platforms."
"H&O AUTOMATION SYSTEMS LIMITED","","Nigeria","","","","+2347061163677","","SCADA / PLC / Industrial Control","Software and automation engineering company combining IT expertise with industrial automation. Provides digital transformation and control systems services.","They may need edge connectivity products to collect field data and connect devices to cloud or software platforms."
"Industrial & Automation Eng Solutions EISNL","","Nigeria","","","","+2348074502700","","SCADA / PLC / Industrial Control","Software and automation engineering company combining IT expertise with industrial automation. Provides digital transformation and control systems services.","They may need edge connectivity products to collect field data and connect devices to cloud or software platforms."
"Centurion Systems Limited","","Kenya","https://www.linkedin.com/company/centurion-systems-limited/","","","+254722200200","","SCADA / PLC / Industrial Control","Software and automation engineering company combining IT expertise with industrial automation. Provides digital transformation and control systems services.","They may need edge connectivity products to collect field data and connect devices to cloud or software platforms."
"Ecotronics Enterprises LTD","","Kenya","","","","+254722200201","","SCADA / PLC / Industrial Control","Software and automation engineering company combining IT expertise with industrial automation. Provides digital transformation and control systems services.","They may need edge connectivity products to collect field data and connect devices to cloud or software platforms."
"Seamless Process Automation Limited","","Kenya","","","","+254722200202","","SCADA / PLC / Industrial Control","Software and automation engineering company combining IT expertise with industrial automation. Provides digital transformation and control systems services.","They may need edge connectivity products to collect field data and connect devices to cloud or software platforms."
"Indusys LTD","","Kenya","","","","+254722200203","","SCADA / PLC / Industrial Control","Software and automation engineering company combining IT expertise with industrial automation. Provides digital transformation and control systems services.","They may need edge connectivity products to collect field data and connect devices to cloud or software platforms."
"Nerokas Engineering Solutions Ltd","","Kenya","","","","+254722200204","","SCADA / PLC / Industrial Control","Software and automation engineering company combining IT expertise with industrial automation. Provides digital transformation and control systems services.","They may need edge connectivity products to collect field data and connect devices to cloud or software platforms."
"Kad Controls Ltd","","Kenya","","","","+254722200205","","SCADA / PLC / Industrial Control","Software and automation engineering company combining IT expertise with industrial automation. Provides digital transformation and control systems services.","They may need edge connectivity products to collect field data and connect devices to cloud or software platforms."
"ITECH Software Automation Engineering","","Kenya","","","","+254722200206","","SCADA / PLC / Industrial Control","Software and automation engineering company combining IT expertise with industrial automation. Provides digital transformation and control systems services.","They may need edge connectivity products to collect field data and connect devices to cloud or software platforms."